hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
10387	PLK4	NP_055079.3	Polo like kinase 4;SAK;STK18;Snk akin kinase;EC 2.7.1.37;Serine/threonine protein kinase sak
10388	KIF17	NP_065867.2	KIAA1405;KIF3X;KIF17B;KIF3-related motor protein;Kinesin-like protein KIF17
10389	TMOD3	NP_055362.1	Ubiquitous tropomodulin;UTMOD;U Tmod
10390	DSCR3	NP_006043.1	Down syndrome critical region protein 3;DCRA;DSCRA;Down syndrome critical region protein A
10391	TACC1	NP_006274.2	Transforming acidic coiled coil containing protein 1;KIAA1103
10392	FGFR1OP	NP_008976.1	FOP;Fibroblast growth factor receptor 1 oncogene partner;FGFR1 oncogene partner isoform b;FGFR1 oncogene partner isoform a
10393	TCERG1	NP_006697.2	TATA box binding protein associated factor 2S;Transcription factor CA150;TATA box binding protein (TBP)-associated factor, RNA polymerase II, S, 150kD;CA150;TAF2S;Transcription elongation regulator 1 isoform 2
10394	RABL2A	NP_009013.1	RAB-like 2A;RAB, member of RAS oncogene family-like 2A
10395	RABL2B	NP_001124395.1	RAB, member of RAS oncogene family-like 2B isoform 2;RAB like 2B;RAB member of RAS oncogene family like 2B;RAB, member of RAS oncogene family-like 2B isoform 1
10396	DKKL1	NP_055234.1	SGY;SGY1;Dickkopf like 1 protein
10397	TP53AIP1	BAB16421.1	P53AIP
10398	SPAG9	NP_001124000.1	HSS;SYD1;JLP;PHET;FLJ13450;FLJ14006;FLJ34602;KIAA0516;MGC14967;Max-binding protein;Sperm surface protein;Sperm specific protein;JNK/SAPK-associated protein;JNK-associated leucine-zipper protein;c-Jun NH2-terminal kinase-associated leucine zipper protein;JNK interacting protein;Sunday driver homolog 1;Sperm associated antigen 9 isoform 1;Sperm associated antigen 9 isoform 2
10399	IL17RA	NP_055154.3	hIL-17R;IL17RA;IL-17RA;IL-17 receptor;IL17R
10400	ABCB8	BAA92038.1	EST328128;Mitochondrial ABC protein;MABC1;Mitochondrial ATP-binding cassette 1
10401	GSTO1	NP_004823.1	P28;GSTTLp28;GSTO 1-1;EC 2.5.1.18
10402	VPS41	NP_055211.2	Vacuolar assembly protein 41;HVSP41;Vacuolar protein sorting 41 isoform 2;Vacuolar assembly protein VPS41 homolog;S53;Vacuolar protein sorting 41 isoform 1
10403	NEBL	NP_006384.1	Nebulette non muscle isoform;actin-binding Z-disk protein;LIM-nebulette;bA56H7.1.2 (nebulette protein (NEBL, actin-binding Z-disc protein));MGC119746;MGC119747;Nebulette sarcomeric isoform
10404	MPHOSPH10	NP_005782.1	M phase phosphoprotein 10;U3 small nucleolar ribonucleoprotein protein MPP10;MPP10P
10405	UPF2	NP_542166.1	Up-frameshift suppressor 2 homolog;Regulator of nonsense transcripts 2;UPF2 regulator of nonsense transcripts homolog;RENT2;DKFZP434D222;KIAA1408 protein;HUPF2;Upf2p homolog;Nonsense mRNA reducing factor 2;hUpf2;MGC138834;MGC138835
10406	GP6	BAB12247.1	GPVI;Glycoprotein VI platelet;Glycoprotein VI (platelet) isoform 1
10407	PAPOLA	NP_116021.2	PAP;MGC5378
10408	AIP	NP_003968.2	Immunophilin homolog ARA9;HBV-X associated protein 2;Aryl hydrocarbon receptor interacting protein;ARA9;XAP2;FKBP37;Hepatitis B virus X-associated protein 2
10409	PIWIL1	NP_004755.2	HIWI
10410	SF3B2	NP_006833.2	SF3b1;SAP145;SF3B145;SF3b150;Splicing factor 3b, subunit 2, 145kDa;Pre mRNA splicing factor SF3b 145 kDa subunit
10411	SF3A3	NP_006793.1	Spliceosome associated protein 61;Pre-mRNA splicing factor SF3a 60kD;PRP9;SAP61;SF3a60
10412	HIP1R	NP_003950.1	HIP12;HIP3;KIAA0655;Hip1 related;Huntingtin interacting protein 1 related;HIP1R
10413	SLC35A3	NP_036375.1	UDP-N-acetylglucosamine transporter;Golgi UDP-GlcNAc transporter;Solute carrier family 35 (UDP-N-acetylglucosamine transporter), member 3;UDP-GlcNAc transporter
10414	TRIM13	NP_001007279.1	Ret finger protein 2 isoform 1;Putative tumor suppressor RFP2;Ret finger protein 2 isoform 2;Leukemia associated protein 5;B cell chronic lymphocytic leukemia tumor suppressor Leu5;CLL associated RING finger;Tripartite motif protein 13;Candidate tumor suppressor involved in B CLL;LEU5;CAR;RNF77;TRIM13
10415	BTG3	AAH11957.1	B cell translocation gene 3;Ana;Tob5;Tofa;Tob55;MGC8928;B cell translocation gene 3 abundant in neuroepithelium area;Tob5 protein;Abundant in neuroepithelium area protein
10416	BAZ1B	BAA89210.1	hWALP2;WBRS9;WSTF;WBSCR9;WBSCR10;Williams syndrome transcription factor;Transcription factor WSTF;Williams Beuren syndrome chromosome region 9;Williams Beuren syndrome chromosome region 10
10417	BAZ2A	NP_038477.2	KIAA0314;TTF I interacting peptide 5;Bromodomain adjacent to zinc finger domain, 2A;hWALp3;TIP5
10418	TRPM7	NP_060142.3	LTRPC ion channel family member 7;Transient receptor potential melastatin 7;CHAK;CHAK1;LTRPC7;FLJ20117;TRP PLIK;Long transient receptor potential channel 7;Transient receptor potential phospholipase C interating kinase;Channel kinase 1
10419	RIPK4	NP_065690.2	RIP4;ANKK2;ANKRD3;EC 2.7.1.37;Ankyrin repeat domain 3;Protein Kinase C associated Kinase;PKC delta interacting protein kinase;Serine/threonine protein kinase ANKRD3;DIK;PKK
10420	GFRA3	NP_001487.2	GDNF family receptor alpha 3;GPI linked receptor;Glial cell line derived neurotrophic factor receptor alpha 3
10421	KCNH5	NP_647479.2	Potassium voltage gated channel, subfamily H member 5 isoform 2;Potassium voltage-gated channel subfamily H member 5 isoform 3;EAG2;HEAG2;Kv10.2;Potassium channel HEAG2;Voltage gated potassium channel EAG2;Ether a go go related potassium channel 2;Potassium voltage gated channel subfamily H eag related member 5;potassium voltage-gated channel, subfamily H, member 5 isoform 1
10422	SPINK2	NP_066937.1	Acrosin trypsin inhibitor;HUSI II
10423	TRIM33	NP_056990.3	Tripartite motif containing 33;PTC7;RFG7;TF1G;TIF1G;FLJ11429;KIAA1113;TIFGAMMA;TIF1GAMMA;Ret fused gene 7;tripartite motif-containing 33 protein isoform alpha;tripartite motif-containing 33 protein isoform beta
10424	NIF3L1	AAH07654.1	ALS2CR1;NIF3-like 1;CALS-7;MDS015;NIF3 NGG1 interacting factor 3-like 1;Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 1;My018 protein
10425	PRDM4	NP_036538.3	PFM1;MGC45046;PR domain zinc finger protein PFM1
10426	EIF5A2	NP_065123.1	eIF-5A2;EIF-5A2;eIF5AII;Eukaryotic translation initiation factor 5A2
10427	STK31	NP_113602.2	TDRD8;Tudor domain containing 8;EC 2.7.1.37;Serine/threonine protein kinase NYD-SPK;serine/threonine kinase 31 isoform a;serine/threonine kinase 31 isoform b
10428	HNRNPUL1	NP_008971.2	E1B-55kDa-associated protein 5 isoform a;E1B-55kDa-associated protein 5 isoform d;E1B 55kDa associated protein 5;E1B-AP5;FLJ12944
10429	CDH20	NP_114097.2	CDH7L3;Cadherin 20, type 2
10430	MRPS22	NP_064576.1	Chromosome 3 open reading frame 5;RPMS22;C3orf5;GK002;S22mt;GIBT;MRP-S22
10431	B3GNT3	NP_055071.2	B3GN-T3;B3GNT-3;HP10328;B3GAL-T8;Beta3Gn-T3;Transmembrane protein 3;Putative type II membrane protein;Beta-1,3-N-acetylglucosaminyltransferase bGnT-3;TMEM3;Beta-1,3-GalTase 8;UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8;UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8;Beta-3-Gx-T8;Core 1 extending beta-1,3-N-acetylglucosaminyltransferase;Core1-beta3GlcNAcT;UNQ637/PRO1266;Beta-1,3-galactosyltransferase 8;EC 2.4.1.
10432	ATP11B	NP_055431.1	ATPIF;ATPIR;KIAA0956;MGC46576;DKFZP434J238;DKFZP434N1615;ATPase class I type 11B;EC 3.6.3.1;Potential phospholipid-transporting ATPase IF;ATPase IR
10433	ZBTB7A	NP_056982.1	LRF;FBI1;FBI 1;Lymphoma related factor;HIV 1 inducer of short transcripts binding protein;HIV 1 Inducer of short transcripts binding factor 1;Leukemia/lymphoma related factor;Factor that binds to inducer of short transcripts protein 1;Factor binding IST protein 1;HIV 1 1st binding protein 1;TTF I interacting peptide 21;TIP21
10434	EHD2	NP_055416.2	PAST2
10435	EHD4	NP_644670.1	PAST4;Hepatocellular carcinoma associated protein 10/11;FKSG7;HCA10;HCA11
10436	PDLIM7	NP_005442.2	LIM domain protein enigma;PDZ and LIM domain 7;LIM mineralization protein 1;LMP1;Enigma protein isoform 1;PDZ and LIM domain 7 isoform 1;PDZ and LIM domain 7 isoform 2;PDZ and LIM domain 7 isoform 4
10437	ALG1	NP_061982.3	HMT1;HMAT1;Asparagine linked glycosylation 1 homolog
10438	SPTBN5	NP_057726.3	HUSPECV;BSPECV;Beta V spectrin;HUBSPECV;Spectrin, beta V;Spectrin beta chain, brain 4;Spectrin, non-erythroid beta chain 4;SPTBN4
10439	SNX5	NP_689413.1	Sorting nexin 5;FLJ10931
10440	SART1	NP_005137.1	U4/U6.U5 tri-snRNP-associated 110 kDa protein;HOMS1;Squamous cell carcinoma antigen recognized by T cells 1;Ara1;Squamous cell carcinoma antigen recognised by T cells;MGC2038;SART1259;IgE autoantigen;SART1(259) protein;SART1(800) protein
10441	SRRM1	NP_005830.2	POP101;SRM160;MGC39488;Plenty of prolines 101 like;Serine/arginine rich splicing factor related nuclear matrix protein;SR related nuclear matrix protein 160KD
10442	NGEF	NP_062824.2	EPH receptor interacting exchange protein;EPHEXIN
10443	GGA3	NP_619525.1	KIAA0154;ARF binding protein 3;Golgi associated gamma adaptin ear containing ARF binding protein 3;ADP-ribosylation factor binding protein 3 isoform long;ADP-ribosylation factor binding protein 3 isoform short
10444	NDOR1	AAL77754.1	NR1;bA350O14.9;NADPH dependent FMN and FAD containing oxidoreductase;Novel reductase 1
10445	MKL1	NP_065882.1	Megakaryoblastic leukemia 1 protein;Megacaryocytic acute leukemia protein;MAL;MKL1/RBM15 fusion gene;BSAC;MRTF-A;KIAA1438
10446	FNBP1	NP_055848.1	FBP17;Formin binding protein 17;FBP17/MLL fusion gene;KIAA0554
10447	CRTAC1	NP_060528.3	Chondrocyte expressed protein 68 kDa;FLJ10320;CEP-68;ASPIC1;ASPIC;Acidic secreted protein in cartilage
10448	DDX43	NP_061135.2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43;DEAD-box protein 43;DEAD/H box 43;HAGE
10449	FMN2	NP_064450.3	Formin 2-like
10450	SLC13A3	NP_073740.2	SDCT2;NADC3;Na+/dicarboxylate cotransporter 3;Sodium dependent high affinity dicarboxylate transporter 3;Sodium-dependent high-affinity dicarboxylate transporter 2;Solute carrier family 13 member 3 isoform b;Solute carrier family 13 member 3 isoform a
10451	SRR	NP_068766.1	EC 5.1.1
10452	HELZ	NP_055692.2	DRHC;HUMORF5;KIAA0054;Down-regulated in human cancers
10453	ANAPC5	NP_057321.2	APC5;PDL 108;Periodontal ligament fibroblast protein;Cyclosome subunit 5
10454	-	NP_001013005.1	-
10455	DOT1L	NP_115871.1	DOT1;KIAA1814;DOT1-like, histone H3 methyltransferase;Histone-lysine N-methyltransferase, H3 lysine-79 specific;Histone H3-K79 methyltransferase;H3-K79-HMTase;DOT1-like protein;EC 2.1.1.43
10456	EIF4ENIF1	NP_062817.2	4E-T;Clast4;FLJ21601;eIF4E-transporter;Eukaryotic translation initiation factor 4E transporter
10457	SLC17A8	NP_647480.1	VGLUT3;Vesicular glutamate transporter 3
10458	ARHGEF2	NP_001155855.1	GEF;GEFH1;LFP40;KIAA0651;DKFZp547L106;Proliferating cell nucleolar antigen p40
10459	SLC17A6	NP_065079.1	DNPI;VGLUT2;Vesicular glutamate transporter 2;Differentiation associated Na dependent inorganic phosphate cotr;Differentiation associated Na dependent inorganic phosphate cotransporter;Differentiation associated sodium dependent inorganic phosphate cotransporter
10460	OLFM3	AAQ89084.1	NOE3;Optimedin;Noelin 3;Olfactomedin related ER localized protein 3
10461	MAP1S	NP_060644.4	C19ORF5;FLJ10669 protein;VCY2IP1;VCY2 interacting protein 1;Chromosome 19 open reading frame 5;Chromosome 19 open reading frame 5, VCY2 interacting protein 1;FLJ14717 protein
10462	CECR1	NP_059120.2	Cat eye syndrome critical region protein 1 isoform b;IDGFL;Cat eye syndrome chromosome region, candidate 1;Cat eye syndrome critical region protein 1 isoform a precursor
10463	CECR2	AAK15343.1	Cat eye syndrome chromosome region candidate 2
10464	ALS2CR8	NP_079020.13	NYD-SP24;Calcium-response factor;Amyotrophic lateral sclerosis 2 chromosome region, candidate 8;FLJ21579
10465	SERHL	NP_733795.1	HS126B42;Kraken like;Serine hydrolase like protein;EC 3.1
10466	SPRY4	NP_112226.2	Sprouty homolog 4
10467	S100A14	NP_065723.1	BCMP84;S100A15;Breast cancer membrane protein 84
10468	SF4	NP_757386.2	RBP;F23858;DKFZp434E2216;RNA binding protein
10469	SFRS14	NP_055699.2	KIAA0365;Arginine serine rich 14 splicing factor
10470	XRN1	NP_061874.3	SEP1;DKFZp434P0721;Strand exchange protein 1;DNA Strand exchange protein SEP1;5`-3` exoribonuclease 1;5`-3` exoribonuclease 1 isoform b
10471	NAA15	NP_476516.1	Transcriptional coactivator tubedown-100;FLJ13340 protein;Ga19;Gastric cancer antigen Ga19;Putative N-acetyltransferase;TBDN100
10472	AK5	NP_777283.1	Adenylate kinase 5 isoform 2;AK6;MGC33326;Adenylate kinase 6;ATP-AMP transphosphorylase;Adenylate kinase isoenzyme 5;EC 2.7.4.3;adenylate kinase 5 isoform 1
10473	NBAS	NP_056993.2	Neuroblastoma amplified protein;DKFZP586G1219;Neuroblastoma amplified gene
10474	CHPF2	NP_061888.1	RLSS299;KIAA1402;CSGlcA-T;UNQ299
10475	SLC5A8	NP_666018.3	AIT;Apical iodide transporter
10476	SHPRH	NP_001036148.1	SNF2 histone linker PHD RING helicase isoform 2;FLJ90837;KIAA2023;SNF2 histone linker PHD RING helicase isoform a
10477	KLHL5	NP_057074.3	Kelch like 5 isoform 1;Lymphocyte activation associated protein;kelch-like 5 isoform 1;kelch-like 5 isoform 3
10478	MLXIP	NP_055753.3	MIR;Mlx interactor;KIAA0867;MONDO family member A
10479	SLC37A1	NP_061837.3	G3PP;G-3-P permease;G-3-P transporter;Glycerol 3 phosphate permease;Solute carrier family 37 (glycerol 3 phosphate transporter) member 1
10480	ALG8	NP_076984.2	Alpha-1,3-glucosyltransferase ALG8 isoform b;Alpha-1,3-glucosyltransferase ALG8 isoform a;Asparagine linked glycosylation 8 homolog;MGC2840;dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase;Hussy 02;Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase;Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase;EC 2.4.1;asparagine-linked glycosylation 8
10481	PUS1	AAL55876.1	MLASA;MGC11268;Pseudouridylate synthase 1;Pseudouridylate synthase 1 isoform 2;tRNA pseudouridylate synthase I;Pseudouridylate synthase 1 isoform 1;tRNA pseudouridine synthase A;EC 5.4.99.12;tRNA uridine isomerase I
10482	PDE4DIP	NP_055459.4	MMGL;CMYA2;Myomegalin;Cardiomyopathy associated 2;Myomegalin like protein;KIAA0454;KIAA0477
10483	WDHD1	NP_009017.1	Acidic nucleoplasmic DNA binding protein 1;AND 1 protein
10484	TTC8	AAH26351.1	Tetratricopeptide repeat domain 8 isoform A;TPR repeat protein 8;Tetratricopeptide repeat domain 8 isoform B;Tetratricopeptide repeat domain 8 isoform C;Bardet-Biedl syndrome type 8;BBS8
10485	NELF	NP_001124441.1	Nasal embryonic luteinizing hormone releasing hormone factor
10486	NUP35	NP_612142.2	Nucleoporin 35kDa isoform a;Nucleoporin 35kDa;MP44;NP44
10487	NIPA1	NP_653200.2	FSP3;MGC35570;Spastic paraplegia 6 autosomal dominant;Non imprinted in Prader Willi/Angelman syndrome 1;MGC102724
10488	PPHLN1	NP_057572.5	Periphilin 1 isoform 1;Periphilin 1 isoform 5;Periphilin 1 isoform 3;Periphilin 1 isoform 4;Periphilin 1 isoform 2;HSPC206;HSPC232;MGC48786;Gastric cancer antigen Ga50
10489	WDR19	NP_079408.3	WD repeat containing protein 19;WD repeat membrane protein PWDMP;ORF26;PWDMP;FLJ23127;KIAA1638
10490	DDX41	NP_057306.2	DEAD Asp-Glu-Ala-Asp box polypeptide 41;ABS;MGC8828;Putative RNA helicase;DEAD box protein abstrakt
10491	ATCAY	NP_149053.1	CLAC;BNIPH;KIAA1872;Ataxia cerebellar Cayman type caytaxin
10492	SPG21	NP_057714.1	MAST;ACP33;GL010;BM 019;Maspardin;Spastic paraplegia 21 autosomal recessive Mast syndrome
10493	CHSY1	NP_055733.2	Carbohydrate synthase 1;KIAA0990
10494	WRNIP1	NP_064520.2	WHIP;FLJ22526;bA420G6.2;Putative helicase RUVBL
10495	PGLYRP2	NP_443122.3	TagL;PGRPL;PGRP-L;PGLYRPL;HMFT0141;TAGL-like;tagl-beta;tagL-alpha;Peptidoglycan recognition protein L;Peptidoglycan recognition protein L precursor
10496	SH3TC2	NP_078853.2	CMT4C;CMTND;FLJ13605;KIAA1985;PP12494
10497	SCN3B	NP_060870.1	SCNB3;HSA243396;KIAA1158 protein;Sodium channel beta 3 subunit;Voltage gated sodium channel beta 3 subunit
10498	LHX6	NP_055183.2	LIM homeobox protein 6 isoform 2;LHX6.1;LIM homeodomain protein 6.1;LIM homeobox protein 6 isoform 1
10499	MASTL	AAH09107.1	Microtubule associated serine/threonine kinase like;THC2;FLJ14813
10500	CACNA1I	NP_066919.2	Voltage-dependent T-type calcium channel alpha-1I subunit;Voltage-gated calcium channel alpha subunit Cav3.3;KIAA1120;Cav3.3
10501	GAL3ST3	NP_149025.1	GAL3ST2;Beta galactose 3 O sulfotransferase 3;Galactose 3 O sulfotransferase 3
10502	HERC5	NP_057407.2	CEB1;Hect domain and RLD 5;Ubiquitin ligase;HECT E3 ubiquitin ligase
10503	NDNL2	NP_619649.1	HCA4;MAGEG1;MAGEL3;Hepatocellular carcinoma-associated protein HCA4;Melanoma antigen family G 1;Necdin-like gene 2
10504	KRT74	NP_778223.2	KRT5C;K6IRS4;KRT6IRS4;Keratin 6, Inner root sheath, 4;Keratin 5c
10505	PRMT6	Q96LA8	Protein arginine N-methyltransferase 6;HMT1 hnRNP methyltransferase-like 6;FLJ10559;Heterogeneous nuclear ribonucleoprotein methyltransferase like protein 6
10506	KIF21A	NP_060111.2	KIAA1708;FEOM1;CFEOM1;FLJ20052;NY-REN-62 antigen
10507	IGF2BP2	NP_006539.3	IGF II mRNA binding protein 2 isoform b;IGF II mRNA binding protein 2 isoform a;VICKZ2;IMP2;p62
10508	CCDC80	NP_955806.1	SSG1;Steroid sensitive gene 1;DRO1
10509	RNF34	NP_919247.1	RFI;RIFF;FLJ21786;RING finger protein RIFF;FYVE RING finger protein MOMO;Ring finger homologous to IAP type
10510	NAGS	NP_694551.1	NAT7;FLJ23827;EC 2.3.1.1
10511	CAGE1	BAC05162.1	Cancer antigen 1 isoform 2;FLJ40441;bA69L16.7;Cancer/testis antigen gene 1;Cancer/testis antigen3
10512	SLC13A5	NP_808218.1	NACT;Sodium coupled citrate transporter;Na+ coupled citrate transporter protein
10513	ABTB1	NP_742024.1	Ankyrin repeat and BTB (POZ) domain containing 1;EF1ABP;MGC20585;BPOZ type2;BPOZ
10514	PINK1	NP_115785.1	BRPK;PARK6;Serine/threonine kinase PINK1, mitochondrial;EC 2.7.1.37
10515	SEPT3	NP_663786.2	Septin 3 isoform B;Neuronal specific septin 3;SEP3;G-septin;Septin 3 isoform A
10516	PHF21A	AAH15714.1	BRAF35/HDAC2 complex (80 kDa);BM 006;KIAA1696;BRAF35/HDAC Complex 80 KD subunit
10517	STXBP3	NP_009200.2	UNC 18 homolog 3;UNC 18C;UNC 18 3;Platelet Sec1 protein;PSP;MUNC18C;MUNC18 3;Syntaxin 4 binding protein
10518	TCP10L	NP_653260.1	TCP10A 2;TCP10 like;PRED77;T complex 10;T complex protein 10A homolog 2;T complex protein 10A 2
10519	KIAA1199	NP_061159.1	IR2155535
10520	SYNGR4	NP_036583.2	-
10521	HFE2	NP_998818.1	Hemojuvelin isoform a;Hemochromatosis type 2 protein;Hemojuvelin isoform b;Hemojuvelin isoform c;JH;HJV;RGMC;HFE2A;MGC23953;Hemojuvelin;RGM domain family member C
10522	DPYSL5	NP_064519.2	CRMP5;Dihdropyrimidinase like 5;CRMP3 associated molecule;CRAM;Ulip6;DRP 5
10523	CSMD1	NP_150094.5	CUB and Sushi multiple domains 1;KIAA1890
10524	ACCS	NP_115981.1	ACS;PHACS;1-aminocyclopropane-1-carboxylate synthase
10525	XPO6	NP_055986.1	EXP6;KIAA0370;FLJ22519;RANBP20;RAN binding protein 20
10526	PANX1	NP_056183.2	UNQ2529;MGC21309;Innexin;MRS1 protein;PRO6028
10527	TLK2	AAH44925.1	Protein kinase ubiquitous alpha;PKU alpha;MGC44450;Tousled like kinase;Serine/threonine kinase
10528	MLL5	NP_061152.3	FLJ10078;FLJ14026;HDCMC04P;MGC70452;Myeloid/lymphoid or mixed-lineage leukemia 5
10529	PDGFC	NP_057289.1	Fallotein;Spinal cord-derived growth factor;Secretory growth factor-like protein;SCDGF
10530	NCDN	NP_055099.1	NCDN 1;KIAA0607;NCDN 2;Norbin
10531	STON2	NP_149095.2	STN2;STNB;Stoned B
10532	DDX17	NP_001091974.1	RP3-434P1.1;DKFZp761H2016;OTTHUMP00000028920;Probable RNA-dependent helicase p72;DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 17 (72kD);EC 3.6.1.-;DEAD-box protein p72;RNA-dependent helicase p72;Probable ATP-dependent helicase DDX17;DEAD box polypeptide 17 isoform p82;DEAD box polypeptide 17 isoform 2;RH70;RNA helicase, 70-KD;p72;Dead/H box 17;DEAD box polypeptide 17;DEAD box polypeptide 17 isoform 3;DEAD box polypeptide 17 isoform 4
10533	SLC26A7	NP_599028.1	Solute carrier family 26, member 7 isoform a;SUT2;Sulfate anion transporter;solute carrier family 26, member 7 isoform b
10534	PCBP3	NP_065389.2	Alpha CP3
10535	ARHGEF15	NP_776089.2	KIAA0915;FLJ13791;Rho guanine nucleotide exchange factor (GEF) 15;MGC44868;Vsm-RhoGEF;Rho guanine exchange factor (GEF) 15
10536	MYPN	NP_115967.2	MYOP;Sarcomeric protein myopalladin 145 kDa
10537	RSF1	NP_057662.3	Remodeling and spacing factor 1;RSF1;XAP8;p325;HBV pX associated protein 8;Hepatitis B virus x associated protein
10538	FBN3	NP_115823.3	KIAA1776
10539	NCAPG2	NP_060230.5	FLJ20311;MTB
10540	VKORC1	NP_076869.1	VKOR;MST134;MST576;UNQ308;VKCFD2;EDTP308;MGC2694;FLJ00289;Phylloquinone epoxide reductase;Vitamin K1 epoxide reductase;Vitamin K1 2,3 epoxide reductase subunit 1;Vitamin K epoxide reductase complex subunit 1 isoform 1;Vitamin K epoxide reductase complex subunit 1 isoform 2;EC 1.1.4.1
10541	VPS33B	NP_061138.3	FLJ14848
10542	STAB2	NP_060034.9	FELL;FEX2;HARE;FEEL 2;FELL 2;STAB 2;DKFZp434E0321;190 kDa form stabilin 2;CD44 like precursor FELL;Hepatic hyaluronan clearance receptor;Hyaluronan receptor for endocytosis;FAS1 EGF like and X link domain containing adhesion molecule 2;Fasciclin EGF like laminin type EGF like and link domain containing scavenger receptor 2
10543	MYH14	NP_001070654.1	DFNA4;NHMCII;FLJ13881;KIAA2034;Myosin, heavy chain 14, nonmuscle;Nonmuscle myosin heavy chain IIC;NMHC IIC;Myosin, heavy chain 14 isoform 1
10544	C11orf30	NP_064578.2	Novel gene expressed in prostate;NGEP;GL002;Chromosome 11 open reading frame 30
10545	GRHL2	NP_079191.2	BOM;Grhl2;DFNA28;FLJ13782;Deafness autosomal dominant 28;Transcription factor cellular promoter 2 like 3
10546	RP1L1	NP_849188.4	RP1 like protein 1
10547	NPSR1	NP_997056.1	GPRA;VRR1;PGR14;Vasopressin receptor related receptor 1;G protein coupled receptor for asthma susceptibility;G-protein coupled receptor;Neuropeptide S receptor;G protein-coupled receptor 154 isoform B;G protein-coupled receptor 154 isoform A;GPR154
10548	RAB11FIP2	NP_055719.1	nRip11;KIAA0941;Rab11FIP2
10549	PDCD4	NP_055271.2	Programmed cell death 4 isoform 2;H731;MGC33046;MGC33047;Nuclear antigen H731;Programmed cell death 4 neoplastic transformation inhibitor;programmed cell death 4 isoform 1
10550	AGRN	NP_940978.2	FLJ45064
10551	OBSCN	NP_001092093.1	UNC89;KIAA1556;Obscurin rho GEF;Obscurin MLCK;DKFZp666E245;MGC138590;MGC120412;MGC120411;MGC120410;MGC120409;KIAA1639;FLJ14124;Obscurin, myosin light chain kinase;EC 2.7.11.1;Obscurin
10552	FAM3B	CAC83974.1	Family with sequence similarity 3, member B;D21M16SJHU19e;Cytokine-like protein 2-21;Chromosome 21 open reading frame 11;ORF9;PRED44;C21orf11;C21orf76
10553	HSN2	NP_998820.1	Hereditary sensory neuropathy type II
10554	ROBO3	NP_071765.2	RBIG1;RB inhibiting gene 1;RIG1;FLJ21044;Retinoblastoma inhibiting gene 1;Roundabout axon guidance receptor homolog 3
10555	PLEKHA8	AAK55424.1	FAPP2;MGC3358;Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8
10556	ULK2	NP_055498.3	UNC51.2;KIAA0623
10557	PODN	NP_714914.2	PCAN;SLRR5A;MGC24995
10558	ANO5	NP_998764.1	GDD1;Integral membrane protein GDD1
10559	PEX26	NP_060399.1	Peroxisome biogenesis factor 26;FLJ20695;PEX26M1T
10560	NIPBL	NP_597677.2	Nipped B homolog;IDN3;DKFZp434L1319;FLJ11203;FLJ12597;FLJ13354;FLJ13648;CDLS;IDN3-B;Nipped B like
10561	DPRX	NP_001012746.1	-
10562	DZIP3	NP_055463.1	KIAA0675;DZIP3;hRUL138;EC 6.3.2.-;Ubiquitin ligase protein DZIP3;RNA binding ubiquitin ligase of 138 kDa;UURF2 ubiquitin ligase
10563	ADM2	NP_079142.2	AM2;FLJ21135;Intermedin
10564	SMC1B	NP_683515.3	SMC1BETA;bK268H5;Structural maintenance of chromosomes 1like 2;bK268H5.5;SMC1like1;Mitosis specific chromosome segregation protein like protein beta;Structural maintenance of chromosome 1like 2 protein;SMC1beta protein;SMC1 structural maintenance of chromosomes 1like 2
10565	RAB3IP	NP_783322.1	RABIN3;RAB3A interacting protein isoform alpha 2;RAB3A interacting protein isoform alpha 1;RAB3A interacting protein isoform beta 2;RAB3A interacting protein isoform beta 1;RAB3A interacting protein isoform A;FLJ22548;SSX2 interacting protein;SSX2IP
10566	SSX2IP	NP_054740.3	Synovial sarcoma X breakpoint 2 interacting protein;ADIP;Afadin dil domain interacting protein;KIAA0923;Afadin and alpha actinin binding protein
10567	DCBLD2	NP_563615.3	Discoidin, CUB and LCCL domain containing 2;CLCP1;Coagulation factor V/VIII-homology domains protein 1;Endothelial and smooth muscle cell-derived neuropilin-like protein
10568	DYX1C1	NP_570722.2	DYXC1;EKN1;DYX1;FLJ37882;MGC70618;Dyslexia susceptibility 1 candidate gene 1 protein;Dyslexia susceptibility 1 candidate 1 isoform a;Dyslexia susceptibility 1 candidate 1 isoform b;Dyslexia susceptibility 1 candidate 1 isoform c
10569	CYP2R1	NP_078790.2	MGC4663;Cytochrome P450 family 2 R1
10570	KRTAP13-1	NP_853630.2	KAP13.1;High sulfur keratin associated protein 13.1;KRTAP13.1
