00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
08765	-	NP_689804.1	CCDC63	General	ATPase activity (GO:0016887)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
08766	-	NP_689668.3	ZSCAN29	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
08767	-	NP_001034606.1	C1orf104	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08768	-	NP_001139200.1	IFLTD1	General	Molecular function unknown (GO:0005554)	-	Cell growth and/or maintenance (GO:0008151)	15688036	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	15688036,15688036
08769	-	NP_694955.2	CEP120	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08770	-	NP_775861.1	C11orf36	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08771	-	NP_001123517.1	TTLL10	General	Ligase activity (GO:0016874)	15890843	Protein metabolism (GO:0019538)	15890843	-	-
08773	-	NP_689741.2	WDSUB1	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
08774	-	NP_848651.2	TRIML1	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
08776	-	NP_001034965.1	C19orf46	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08777	-	NP_872374.3	CCDC144B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08778	-	NP_872326.2	C22orf15	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08779	-	NP_872429.2	FAM131C	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08780	-	NP_775778.1	C1orf127	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08781	-	NP_775958.1	C8orf31	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08782	-	NP_694941.2	KIF19	General	DNA binding (GO:0003677)	11416179	Biological_process unknown (GO:0000004)	-	-	-
08783	-	NP_694946.2	FBLN7	General	Calcium ion binding (GO:0005509)	-	Biological_process unknown (GO:0000004)	-	-	-
08784	-	NP_694993.2	TMEM188	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
08785	-	NP_777591.2	CCDC75	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
08786	-	NP_775882.2	FAM98B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08787	-	NP_001093859.1	TMEM192	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021); Nucleus (GO:0005634)	-,17081983
08788	-	NP_689867.1	DAND5	General	Molecular function unknown (GO:0005554)	-	Morphogenesis (GO:0009653); Regulation of signal transduction (GO:0009966)	15466485,15466485	Extracellular (GO:0005576)	15466485
08789	-	NP_694947.1	C3orf45	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08790	-	NP_689480.2	RNF185	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08791	-	NP_689482.1	C12orf65	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08792	-	NP_776166.1	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08793	-	NP_694950.2	C13orf31	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08794	-	NP_665872.2	ANKS4B	General	Receptor signaling complex scaffold activity (GO:0030159)	15461667	Signal transduction (GO:0007165)	15461667	-	-
08795	-	NP_689574.1	EID2B	General	Transcription regulator activity (GO:0030528)	15970276	Transcription (GO:0006350); Cell growth and/or maintenance (GO:0008151)	15970276,15970276	Nucleus (GO:0005634)	15970276
08796	-	NP_689529.1	C11orf46	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08797	-	NP_710156.3	C2orf69	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08798	-	NP_689587.1	C1orf216	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08799	-	NP_689708.1	CNIH3	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
08800	-	NP_689553.1	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	-
08801	-	NP_689576.4	ANKLE1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	-
08802	-	NP_775820.1	C8orf47	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08803	-	NP_001121895.1	MPV17L	General	DNA binding (GO:0003677)	16631601	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	16631601	Peroxisome (GO:0005777)	16631601
08804	-	NP_776160.2	TIGIT	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08805	-	NP_872434.2	CCDC37	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08806	-	NP_001026918.2	C12orf40	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08807	-	NP_001104003.1	C1orf177	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08808	-	NP_775760.3	HEATR7B2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08809	-	NP_001135772.1	CCNYL1	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
08810	-	NP_689520.2	TRMT61A	General	RNA methyltransferase activity (GO:0008173)	16043508	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	16043508	-	-
08811	-	NP_001106995.1	PARP15	General	Transcription regulator activity (GO:0030528)	16061477	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	16061477	-	-
08812	-	NP_689879.1	PLD5	General	Phospholipase activity (GO:0004620)	-	Signal transduction (GO:0007165)	-	-	-
08813	-	NP_872431.3	GEN1	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
08815	-	NP_775862.2	C12orf64	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08816	-	NP_775889.1	INO80E	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Chromosome (GO:0005694)	16230350
08817	-	NP_775785.2	SLC38A9	General	Molecular function unknown (GO:0005554)	-	Transport (GO:0006810)	-	-	-
08818	-	NP_710159.1	HTRA4	General	Serine-type peptidase activity (GO:0008236)	12408815	Protein metabolism (GO:0019538)	12408815	-	-
08819	-	NP_005488.2	GJC1	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Perinuclear region (GO:0048471); Cell surface (GO:0009986)	11313345,7966354,11313345
08820	-	NP_055694.3	P2RY14	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	-
08821	-	NP_444272.1	HTRA3	General	Serine-type peptidase activity (GO:0008236)	-	Protein metabolism (GO:0019538)	-	-	-
08822	-	NP_055693.4	KIAA0020	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleolus (GO:0005730)	none,15561729,15635413,11790298
08823	-	NP_055691.1	JOSD1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08824	-	NP_055130.1	KLHDC2	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	11384994
08825	-	NP_076937.2	C17orf53	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
08826	-	NP_005438.2	RASSF9	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Cytoplasm (GO:0005737); Endosome (GO:0005768)	9837933,9837933
08827	-	NP_004695.1	RRP9	General	Ribonucleoprotein (GO:0003733)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleolus (GO:0005730); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	9418896,15635413,11790298,15561729,17081983
08828	-	NP_005435.1	RQCD1	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	15209511
08829	-	NP_055687.1	ZBTB5	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
08830	-	NP_001138618.1	CRHR1	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	9178757,10598591
08831	-	NP_001879.1	CRYM	General	Hormone binding (GO:0042562)	9328354,8895318	Osmoregulation (GO:0018987); Hormone metabolism (GO:0042445)	1384048,8895318	Cytoplasm (GO:0005737)	12471561,8895318,9328354
08832	-	NP_065438.1	DBI	General	Receptor binding (GO:0005102)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Extracellular (GO:0005576); Cytoplasm (GO:0005737); Mitochondrion (GO:0005739)	9657356,9477145,8245508,8043504,8396705
08833	-	NP_001944.1	TYMP	General	Growth factor activity (GO:0008083)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Extracellular (GO:0005576)	11297264,11041061,10472757,11041061,10472757,-
08834	-	NP_000106.1	EDNRB	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Lysosome (GO:0005764); Endoplasmic reticulum (GO:0005783)	12972292,12972292,11854280
08835	-	NP_001417.3	EN1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Plasma membrane (GO:0005886)	9169834,9169834
08836	-	NP_001418.2	EN2	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Plasma membrane (GO:0005886); Nucleus (GO:0005634)	9169834,9169834
08837	-	NP_006202.1	PENK	General	Peptide hormone (GO:0005180)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	1729392,7559749,7559749
08838	-	NP_077722.1	PDYN	General	Peptide hormone (GO:0005180)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Extracellular (GO:0005576)	10871647,10871647
08839	-	NP_000800.2	GABRA4	General	Receptor activity (GO:0004872)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	-
08840	-	NP_000801.1	GABRA5	General	Extracellular ligand-gated ion channel activity (GO:0005230)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	1321750
08841	-	NP_000802.2	GABRA6	General	Extracellular ligand-gated ion channel activity (GO:0005230)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	8632757
08842	-	NP_000806.2	GABRD	General	Extracellular ligand-gated ion channel activity (GO:0005230)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	2176788
08844	-	NP_068712.1	GABRB3	General	Extracellular ligand-gated ion channel activity (GO:0005230)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cell surface (GO:0009986); Cytoplasm (GO:0005737); Perinuclear region (GO:0048471); Nucleus (GO:0005634); Endoplasmic reticulum (GO:0005783); Integral to membrane (GO:0016021)	15198677,15198677,15198677,15198677,15198677,-
08845	-	NP_002082.2	GRP	General	Molecular function unknown (GO:0005554)	-	Signal transduction (GO:0007165)	8756537	Extracellular (GO:0005576)	11960700
08846	-	NP_005406.3	SLC20A1	General	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	8041748
08847	-	NP_002428.1	MPV17	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Peroxisome (GO:0005777); Mitochondrion (GO:0005739)	12471025,16582907
08848	-	NP_001968.3	ENPEP	General	Aminopeptidase activity (GO:0004177)	-	Protein metabolism (GO:0019538)	-	Plasma membrane (GO:0005886); Extracellular (GO:0005576)	8346219,15048132,11390025
08849	-	NP_004284.1	GDA	General	Deaminase activity (GO:0019239)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886)	10595517,10595517
08850	-	NP_653082.1	GNAT1	General	GTPase activity (GO:0003924)	2902634,2534964	Cell communication (GO:0007154); Signal transduction (GO:0007165)	2902634,2534964,2902634,2534964	Plasma membrane (GO:0005886)	8673138
08850	08850_1	NP_653082.1	GNAT1	Isoform_specific	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
08851	-	NP_003507.1	HIST2H2AA3	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleolus (GO:0005730)	-,15635413
08852	-	NP_878314.1	VSX2	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
08853	-	NP_000874.2	IMPDH1	General	Catalytic activity (GO:0003824)	16214101	Metabolism (GO:0008152)	16038673,11875050	Cytosol (GO:0005829)	15561729
08853	08853_1	NP_000874.2	IMPDH1	Isoform_specific	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
08854	-	NP_005534.2	INSL3	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	10451226
08855	-	NP_066928.1	PLSCR1	General	Protein binding (GO:0005515)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8663431,9712717,11390389,9218461,12605885
08856	-	NP_258412.1	ITPA	General	Hydrolase activity (GO:0016787)	11278832,487601	Metabolism (GO:0008152); Energy pathways (GO:0006091)	11278832,487601,11278832,487601	Cytoplasm (GO:0005737)	487601
08856	08856_1	NP_258412.1	ITPA	Isoform_specific	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
08857	-	NP_066401.2	IFNA7	General	Cytokine activity (GO:0005125)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	-
08858	-	NP_004127.1	IREB2	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Cytoplasm (GO:0005737)	7523370
08859	-	NP_006489.1	LGALS2	General	Defense/immunity protein activity (GO:0003793)	-	Immune response (GO:0006955)	-	Cytoplasm (GO:0005737); Extracellular (GO:0005576)	1375225,1375225
08860	-	NP_000816.3	GNRH1	General	Peptide hormone (GO:0005180)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	2867548
08861	-	NP_005567.2	LOXL1	General	Catalytic activity (GO:0003824)	-	Cell growth and/or maintenance (GO:0008151)	-	Nucleus (GO:0005634); Extracellular (GO:0005576)	14745449,7689553,14745449
08862	-	NP_002421.3	MN1	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
08863	-	NP_005944.1	MT2A	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	12646258,10766190,12646258,10567918
08864	-	NP_004981.2	MARS	General	Ligase activity (GO:0016874)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Mitochondrion (GO:0005739); Cytosol (GO:0005829)	10791971,10791971,15598749,15561729
08865	-	NP_006740.1	SLC20A2	General	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	8302848
08866	-	NP_001003927.1	EVI2A	General	Transmembrane receptor activity (GO:0004888)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	2117566
08867	-	NP_006486.3	EVI2B	General	Molecular function unknown (GO:0005554)	-	Cell growth and/or maintenance (GO:0008151)	-	Plasma membrane (GO:0005886)	1903357
08868	-	P10243	MYBL1	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9312094,8058310
08869	-	NP_002300.1	LIF	General	Cytokine activity (GO:0005125)	-	Biological_process unknown (GO:0000004)	-	-	-
08870	-	NP_068779.1	MCL1	General	Protein binding (GO:0005515); Chaperone activity (GO:0003754)	10837489,12149273	Signal transduction (GO:0007165); Anti-apoptosis (GO:0006916)	15241487,12149273	Mitochondrial membrane (GO:0005740); Cytoplasm (GO:0005737); Nucleus (GO:0005634)	7896880,7896880,12149273
08870	08870_1	NP_068779.1	MCL1	Isoform_specific	-	-	Anti-apoptosis (GO:0006916)	10837489	-	-
08870	08870_2	NP_877495.1	MCL1	Isoform_specific	-	-	Apoptosis (GO:0006915)	10837489	-	-
08871	-	NP_005926.1	AFF1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9880680,14603337
08872	-	NP_005954.3	MYH1	General	Motor activity (GO:0003774)	-	Cell growth and/or maintenance (GO:0008151)	-	Extracellular (GO:0005576); Mitochondrion (GO:0005739)	10077619,6304733,16188874,15598749
08873	-	NP_060003.2	MYH4	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
08874	-	NP_002497.2	NGF	General	Growth factor activity (GO:0008083)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576); Nucleus (GO:0005634)	8633048,17081983
08875	-	NP_006168.1	NRL	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	11477108,16023139,11477108
08876	-	NP_003173.1	TAC1	General	Molecular function unknown (GO:0005554)	-	Signal transduction (GO:0007165); Regulation of immune response (GO:0050776)	9482938,9548509,15544859,12578734,9655475	Extracellular (GO:0005576)	9548509
08877	-	NP_001006668.1	TAC3	General	Molecular function unknown (GO:0005554)	-	Vasodilation (GO:0042311)	14700748	Extracellular (GO:0005576)	12727971,10866201,14634580
08878	-	NP_006174.1	NTS	General	Peptide hormone (GO:0005180)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	409699,6754769
08879	-	NP_001027581.1	OAS1	General	Ligase activity (GO:0016874)	11986302	Immune response (GO:0006955)	15732009	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	3754863,15561729
08880	-	NP_000906.1	OXT	General	Peptide hormone (GO:0005180)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Extracellular (GO:0005576)	12183418,12183418,-
08881	-	NP_004291.1	ACP1	General	Acid phosphatase activity (GO:0003993)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	1587862,1304913
08882	-	NP_002682.2	POLD1	General	DNA-directed DNA polymerase activity (GO:0003887)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	1722322
08883	-	NP_631875.1	KCNC2	General	Voltage-gated ion channel activity (GO:0005244)	8111118	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	-
08884	-	NP_002226.1	KCNA6	General	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	2347305
08885	-	NP_000208.2	KCNA1	General	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	11097830
08886	-	NP_004968.2	KCNC3	General	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	-
08887	-	NP_004969.2	KCNC4	General	Voltage-gated ion channel activity (GO:0005244)	1920536	Ion transport (GO:0006811)	1920536	Plasma membrane (GO:0005886)	1920536
08887	08887_1	NP_004969.2	KCNC4	Isoform_specific	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	-	-
08888	-	NP_002225.2	KCNA5	General	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	1986382,11149959,10812072
08889	-	NP_002576.1	PBX1	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	11912494
08890	-	NP_002577.2	PBX2	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	10082572
08891	-	NP_112536.2	PSG2	General	Antigen binding (GO:0003823)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	-
08892	-	NP_066296.2	PSG3	General	Molecular function unknown (GO:0005554)	-	Immune response (GO:0006955)	-	-	-
08893	-	NP_002771.2	PSG4	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	7794280	Extracellular (GO:0005576)	7794280
08894	-	NP_002772.3	PSG5	General	Molecular function unknown (GO:0005554)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	-
08895	-	NP_002773.1	PSG6	General	Molecular function unknown (GO:0005554)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	-
08896	-	NP_002774.2	PSG7	General	Molecular function unknown (GO:0005554)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	-
08897	-	NP_002775.3	PSG9	General	Molecular function unknown (GO:0005554)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	-
08898	-	NP_002776.3	PSG11	General	Molecular function unknown (GO:0005554)	-	Immune response (GO:0006955)	-	Extracellular (GO:0005576)	-
08899	-	NP_000937.1	PRIM1	General	DNA-directed RNA polymerase activity (GO:0003899)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
08900	-	NP_000938.2	PRIM2	General	DNA-directed RNA polymerase activity (GO:0003899)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
08901	-	NP_000908.2	P4HA1	General	Oxidoreductase activity (GO:0016491)	9211872	Metabolism (GO:0008152); Energy pathways (GO:0006091); Protein metabolism (GO:0019538)	15369792,-,15369792	Endoplasmic reticulum (GO:0005783)	2543975
08902	-	NP_002408.3	MKI67	General	Protein binding (GO:0005515)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleolus (GO:0005730); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	8227122,2571566,15635413,11790298,12485163,14659764,17081983,17081983
08903	-	NP_000946.2	PTGER1	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8253813
08904	-	NP_000945.3	PTGDS	General	Ligase activity (GO:0016874)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Extracellular (GO:0005576); Endoplasmic reticulum (GO:0005783)	7692978,16199891,16188874,9065498
08905	-	NP_000947.2	PTGER2	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	11093764
08906	-	NP_000948.2	PTGER3	General	G-protein coupled receptor activity (GO:0004930)	14699136	Cell communication (GO:0007154); Signal transduction (GO:0007165)	14699136,14699136	Plasma membrane (GO:0005886); Nuclear membrane (GO:0005635); Perinuclear region (GO:0048471)	10336471,10336471,10336471
08906	08906_1	NP_000948.2	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
08906	08906_2	NP_942005.2	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08906	08906_3	NP_942006.1	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08906	08906_4	NP_942007.1	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08906	08906_5	NP_942008.1	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08906	08906_6	NP_942009.1	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08906	08906_7	NP_942010.1	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08906	08906_8	NP_942011.1	PTGER3	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08907	-	NP_002778.1	PSMA2	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
08908	-	NP_005380.2	PCMT1	General	Methyltransferase activity (GO:0008168)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737)	3355545
08909	-	NP_001778.1	CDK11B	General	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	2217177,15963510,2217177
08909	08909_2	NP_277021.1	CDK11B	Isoform_specific	-	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08909	08909_3	NP_277027.1	CDK11B	Isoform_specific	-	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08909	08909_4	NP_277028.1	CDK11B	Isoform_specific	-	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
08909	08909_5	NP_277024.1	CDK11B	Isoform_specific	-	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
